TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-26 23:03:56,1772147036725,neurohq-htriw9lag-iafmtjss-projects.vercel.app/dashboard,GET,,200,nkmq6-1772147036725-8eeed7aab472,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,neurohq-htriw9lag-iafmtjss-projects.vercel.app,neurohq-htriw9lag-iafmtjss-projects.vercel.app,dpl_2frX4vayEiqBxkY2GxQEP13gAxrr,130,iad1,273,2048,,prj_kUz3Dp7DOO5PoQFtuhoRCkousaME,,,01KJE33MJ3WXE16VYJ1PPMV3AJ,WZoLmaIW1cya,1
2026-02-26 23:03:56,1772147036725,neurohq-htriw9lag-iafmtjss-projects.vercel.app/dashboard,GET,,200,nkmq6-1772147036725-8eeed7aab472,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard,neurohq-htriw9lag-iafmtjss-projects.vercel.app,neurohq-htriw9lag-iafmtjss-projects.vercel.app,dpl_2frX4vayEiqBxkY2GxQEP13gAxrr,3572,iad1,405,2048,,prj_kUz3Dp7DOO5PoQFtuhoRCkousaME,,,01KJE33MPKVAAVM5BYWJYN6FB3,y2uqxM5ghVpl,3
2026-02-26 23:03:55,1772147035074,neurohq-htriw9lag-iafmtjss-projects.vercel.app/api/auth/login,POST,,302,bpjd7-1772147035074-3dad1d02265a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,neurohq-htriw9lag-iafmtjss-projects.vercel.app,neurohq-htriw9lag-iafmtjss-projects.vercel.app,dpl_2frX4vayEiqBxkY2GxQEP13gAxrr,142,iad1,273,2048,,prj_kUz3Dp7DOO5PoQFtuhoRCkousaME,,,01KJE33JY9BVB3MP63AFZB9KBH,WZoLmaIW1cya,1
2026-02-26 23:03:55,1772147035074,neurohq-htriw9lag-iafmtjss-projects.vercel.app/api/auth/login,POST,,302,bpjd7-1772147035074-3dad1d02265a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/login,neurohq-htriw9lag-iafmtjss-projects.vercel.app,neurohq-htriw9lag-iafmtjss-projects.vercel.app,dpl_2frX4vayEiqBxkY2GxQEP13gAxrr,1079,iad1,273,2048,,prj_kUz3Dp7DOO5PoQFtuhoRCkousaME,,,01KJE33K35J4KEMKZFQ0ZCG8G9,D2L6ZZzXkhPN,1
2026-02-26 23:03:45,1772147025776,neurohq-htriw9lag-iafmtjss-projects.vercel.app/dashboard,GET,_rsc=5y6lz,200,vc5sx-1772147025776-b855599ea3a6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,neurohq-htriw9lag-iafmtjss-projects.vercel.app,neurohq-htriw9lag-iafmtjss-projects.vercel.app,dpl_2frX4vayEiqBxkY2GxQEP13gAxrr,156,iad1,272,2048,,prj_kUz3Dp7DOO5PoQFtuhoRCkousaME,,,01KJE339VND3CJRME68N9CTFE8,WZoLmaIW1cya,1
2026-02-26 23:03:45,1772147025776,neurohq-htriw9lag-iafmtjss-projects.vercel.app/dashboard,GET,_rsc=5y6lz,200,vc5sx-1772147025776-b855599ea3a6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard.rsc,neurohq-htriw9lag-iafmtjss-projects.vercel.app,neurohq-htriw9lag-iafmtjss-projects.vercel.app,dpl_2frX4vayEiqBxkY2GxQEP13gAxrr,10,iad1,399,2048,,prj_kUz3Dp7DOO5PoQFtuhoRCkousaME,,,01KJE33A0Y45FPCYZDE1VWCHAR,y2uqxM5ghVpl,1
2026-02-26 23:03:45,1772147025771,neurohq-htriw9lag-iafmtjss-projects.vercel.app/dashboard,GET,,200,5jr49-1772147025771-e5af01914c54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,neurohq-htriw9lag-iafmtjss-projects.vercel.app,neurohq-htriw9lag-iafmtjss-projects.vercel.app,dpl_2frX4vayEiqBxkY2GxQEP13gAxrr,139,iad1,278,2048,,prj_kUz3Dp7DOO5PoQFtuhoRCkousaME,,,01KJE339VKK2F8E9DHJDTYC59P,ldWNXX4gLOhp,1
2026-02-26 23:03:45,1772147025771,neurohq-htriw9lag-iafmtjss-projects.vercel.app/dashboard,GET,,200,5jr49-1772147025771-e5af01914c54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard.rsc,neurohq-htriw9lag-iafmtjss-projects.vercel.app,neurohq-htriw9lag-iafmtjss-projects.vercel.app,dpl_2frX4vayEiqBxkY2GxQEP13gAxrr,7,iad1,399,2048,,prj_kUz3Dp7DOO5PoQFtuhoRCkousaME,,,01KJE33A0EBB3WF93NBMPVZME3,y2uqxM5ghVpl,1
2026-02-26 23:03:45,1772147025527,neurohq-htriw9lag-iafmtjss-projects.vercel.app/,GET,_rsc=to9i9,200,f4j9g-1772147025527-9737691f9f0b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/index.rsc,neurohq-htriw9lag-iafmtjss-projects.vercel.app,neurohq-htriw9lag-iafmtjss-projects.vercel.app,dpl_2frX4vayEiqBxkY2GxQEP13gAxrr,8,iad1,399,2048,,prj_kUz3Dp7DOO5PoQFtuhoRCkousaME,,,01KJE339RPTXKGQBQQCPACQ3GE,y2uqxM5ghVpl,1
2026-02-26 23:03:45,1772147025527,neurohq-htriw9lag-iafmtjss-projects.vercel.app/,GET,_rsc=to9i9,200,f4j9g-1772147025527-9737691f9f0b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,neurohq-htriw9lag-iafmtjss-projects.vercel.app,neurohq-htriw9lag-iafmtjss-projects.vercel.app,dpl_2frX4vayEiqBxkY2GxQEP13gAxrr,146,iad1,277,2048,,prj_kUz3Dp7DOO5PoQFtuhoRCkousaME,,,01KJE339HP8EQ6CWYSYKSWMVK8,ldWNXX4gLOhp,2
